hypothesis,model,asset_setup,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,n_signals_fired,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,status
h1,xgb_lstm,ips_available,3,18.313982131125584,0.095193634186625,0.0911366175298666,-0.1871968379680142,0.824176593760402,0.50852159267183,61,0.5,0.5,4.0,0.05,2.0,keep
h1,xgb_lstm,policy_plus_bitcoin,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.1905369896059071,0.8195691582559712,0.4979353642324404,61,0.5,0.5,4.0,0.05,2.0,discard
h1,xgb_lstm,ips_available,3,18.70505693172754,0.0921907634073835,0.0917105779922259,-0.1875307547324329,0.7896469419702135,0.4916034361346244,53,0.55,0.5,4.0,0.05,2.0,discard
h1,xgb_lstm,policy_plus_bitcoin,3,19.002227361072837,0.0923836642100148,0.0918689482148365,-0.1905369896059067,0.7903770251664441,0.4848594721743779,53,0.55,0.5,4.0,0.05,2.0,discard
h1,xgb_lstm,ips_available,3,19.42167883835598,0.0947237880989495,0.0924744672337559,-0.1964661092487534,0.8089627465431952,0.4821380565897809,61,0.5,0.5,4.0,0.05,1.5,keep
h1,xgb_lstm,ips_available,3,19.643127228742152,0.0928546679217965,0.0928198309604642,-0.1964661092487538,0.7878829600734425,0.4726243537720259,53,0.55,0.5,4.0,0.05,1.5,discard
h1,xgb_lstm,policy_plus_bitcoin,3,19.730653133374894,0.0973182446669387,0.0929237556805398,-0.2017010203201478,0.8309926279788782,0.4824876171299053,61,0.5,0.5,4.0,0.05,1.5,discard
h1,xgb_lstm,policy_plus_bitcoin,3,19.94712931647525,0.0955270995120818,0.0932973723566868,-0.2017010203201475,0.8105239227083116,0.473607418348492,53,0.55,0.5,4.0,0.05,1.5,discard
h1,xgb_lstm,ips_available,3,20.85238176439378,0.0950664309015483,0.0943234688543691,-0.2092667796911169,0.7982786377725911,0.4542834320949974,61,0.5,0.5,4.0,0.05,1.0,keep
h1,xgb_lstm,ips_available,3,21.054343178858744,0.0933061296038011,0.0945827817012719,-0.2092667796911166,0.7793358204442491,0.4458716751006705,53,0.55,0.5,4.0,0.05,1.0,discard
h1,xgb_lstm,policy_plus_bitcoin,3,21.31231482529613,0.095697612828852,0.095130498810977,-0.2136902622708363,0.7983834206595498,0.4478332882925779,61,0.5,0.5,4.0,0.05,1.0,discard
h1,xgb_lstm,policy_plus_bitcoin,3,21.472175476178123,0.0942640459271497,0.0952955384180936,-0.2136902622708373,0.7834228349362093,0.4411246676635023,53,0.55,0.5,4.0,0.05,1.0,discard
h1,xgb_lstm,policy_plus_bitcoin,2,1026.600067047345,0.0978814654444883,0.1005064672170715,-0.2566878343504328,0.781065217416464,0.3813249104391119,61,0.5,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,policy_plus_bitcoin,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.3771852545406741,53,0.55,0.5,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,61,0.5,0.75,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,61,0.5,1.0,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1026.815392807928,0.0950475470902934,0.0998012912429722,-0.2567000919633003,0.7600104999418321,0.3702668992572159,61,0.5,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,ips_available,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,53,0.55,0.75,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,53,0.55,0.5,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,53,0.55,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,ips_available,2,1026.8627328769612,0.0943618978960745,0.0995890427390851,-0.2567000919633003,0.755122952800468,0.3675958866020397,53,0.55,1.0,4.0,0.05,0.5,discard
h1,xgb_lstm,policy_plus_jpy,2,1027.4839013494434,0.0700180831768302,0.0955412562417008,-0.2393339236063929,0.5472587843212233,0.2925539435520287,53,0.55,0.5,4.0,0.05,0.5,discard
