ticker,date,open,high,low,close,adj_close,volume,source,ingested_at
XBTUSD,2026-03-19,,,,71140.81,71140.81,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-19,,,,159.84,159.84,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-19,,,,4819.91,4819.91,,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-18,,,,7963.32,7963.32,79617392,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-18,,,,71227.74,71227.74,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-18,,,,2349.72,2349.72,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-18,,,,159.86,159.86,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-18,,,,4818.5,4818.5,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-18,,,,14770.48,14770.48,904954382,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-17,,,,8083.65,8083.65,71050121,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-17,,,,74540.1,74540.1,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-17,,,,2358.26,2358.26,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-17,,,,159.0,159.0,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-17,,,,5005.61,5005.61,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-17,,,,14974.18,14974.18,821723523,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-16,,,,8059.79,8059.79,72431301,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-16,,,,74235.49,74235.49,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-16,,,,2353.88,2353.88,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-16,,,,159.07,159.07,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-16,,,,5006.41,5006.41,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-16,,,,14936.37,14936.37,847547932,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-15,,,,71741.23,71741.23,,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-14,,,,70824.49,70824.49,,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-13,,,,7992.78,7992.78,68751252,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-13,,,,71357.15,71357.15,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-13,,,,2345.03,2345.03,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-13,,,,159.73,159.73,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-13,,,,5019.49,5019.49,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-13,,,,14785.07,14785.07,809867217,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-12,,,,7987.3,7987.3,77672866,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-12,,,,70182.1,70182.1,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-12,,,,2348.19,2348.19,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-12,,,,159.35,159.35,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-12,,,,5079.21,5079.21,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-12,,,,14873.22,14873.22,940715268,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-11,,,,8034.25,8034.25,70548894,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-11,,,,70649.91,70649.91,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-11,,,,2355.75,2355.75,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-11,,,,158.95,158.95,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-11,,,,5176.46,5176.46,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-11,,,,15102.57,15102.57,832532501,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-10,,,,8116.63,8116.63,67399531,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-10,,,,70249.53,70249.53,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-10,,,,2366.82,2366.82,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-10,,,,158.05,158.05,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-10,,,,5191.98,5191.98,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-10,,,,15114.7,15114.7,855432707,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-09,,,,8114.23,8114.23,79770379,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-09,,,,68982.35,68982.35,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-09,,,,2373.48,2373.48,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-09,,,,157.67,157.67,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-09,,,,5138.53,5138.53,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-09,,,,15145.38,15145.38,1032263150,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-08,,,,67219.4,67219.4,,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-07,,,,67448.87,67448.87,,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-06,,,,8102.32,8102.32,68911805,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-06,,,,68283.96,68283.96,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-06,,,,2366.85,2366.85,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-06,,,,157.78,157.78,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-06,,,,5171.74,5171.74,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-06,,,,15019.2,15019.2,959308013,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-05,,,,8183.26,8183.26,75319249,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-05,,,,71142.01,71142.01,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-05,,,,2369.4,2369.4,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-05,,,,157.59,157.59,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-05,,,,5082.3,5082.3,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-05,,,,15219.14,15219.14,1022077955,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-04,,,,8268.09,8268.09,75385416,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-04,,,,73340.89,73340.89,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-04,,,,2375.19,2375.19,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-04,,,,157.06,157.06,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-04,,,,5140.36,5140.36,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-04,,,,15305.01,15305.01,903904828,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-03,,,,8252.82,8252.82,76025489,finance_db,2026-03-25T04:08:31Z
XBTUSD,2026-03-03,,,,68033.05,68033.05,,finance_db,2026-03-25T04:08:31Z
LBUSTRUU,2026-03-03,,,,2377.49,2377.49,,finance_db,2026-03-25T04:08:31Z
USDJPY,2026-03-03,,,,157.74,157.74,,finance_db,2026-03-25T04:08:31Z
XAU,2026-03-03,,,,5088.83,5088.83,,finance_db,2026-03-25T04:08:31Z
SPXT,2026-03-03,,,,15186.99,15186.99,969855378,finance_db,2026-03-25T04:08:31Z
B3REITT,2026-03-02,,,,8303.59,8303.59,82368572,finance_db,2026-03-25T04:08:31Z
